[0.1191217],[0.15518269],[0.07611695]
[0.1193465],[0.15545112],[0.07599413]
[0.11957107],[0.15571917],[0.07587161]
[0.11979542],[0.15598684],[0.07574941]
[0.12001954],[0.15625412],[0.07562751]
[0.12024344],[0.15652101],[0.07550591]
[0.12046712],[0.15678752],[0.07538463]
[0.12069057],[0.15705364],[0.07526365]
[0.1209138],[0.15731938],[0.07514297]
[0.12113681],[0.15758474],[0.0750226]
[0.12135959],[0.15784971],[0.07490253]
[0.12158215],[0.1581143],[0.07478276]
[0.12180449],[0.15837851],[0.07466329]
[0.12202661],[0.15864234],[0.07454413]
[0.12224851],[0.15890578],[0.07442526]
[0.12247018],[0.15916885],[0.07430669]
[0.12269164],[0.15943154],[0.07418842]
[0.12291287],[0.15969384],[0.07407045]
[0.12313389],[0.15995577],[0.07395278]
[0.12335468],[0.16021732],[0.0738354]
[0.12357525],[0.16047849],[0.07371831]
[0.12379561],[0.16073929],[0.07360152]
[0.12401574],[0.1609997],[0.07348503]
[0.12423566],[0.16125974],[0.07336882]
[0.12445536],[0.16151941],[0.07325291]
[0.12467484],[0.1617787],[0.07313729]
[0.1248941],[0.16203761],[0.07302196]
[0.12511314],[0.16229615],[0.07290692]
[0.12533196],[0.16255431],[0.07279217]
[0.12555057],[0.16281211],[0.07267771]
[0.12576896],[0.16306953],[0.07256354]
[0.12598714],[0.16332657],[0.07244965]
[0.1262051],[0.16358325],[0.07233605]
[0.12642284],[0.16383955],[0.07222273]
[0.12664037],[0.16409548],[0.0721097]
[0.12685768],[0.16435104],[0.07199695]
[0.12707477],[0.16460623],[0.07188449]
[0.12729165],[0.16486105],[0.0717723]
[0.12750832],[0.1651155],[0.0716604]
[0.12772477],[0.16536959],[0.07154878]
[0.12794101],[0.1656233],[0.07143744]
[0.12815703],[0.16587665],[0.07132638]
[0.12837284],[0.16612963],[0.0712156]
[0.12858844],[0.16638224],[0.0711051]
[0.12880382],[0.16663449],[0.07099487]
[0.12901899],[0.16688637],[0.07088493]
[0.12923395],[0.16713789],[0.07077525]
[0.12944869],[0.16738904],[0.07066585]
[0.12966322],[0.16763983],[0.07055673]
[0.12987755],[0.16789025],[0.07044788]
[0.13009166],[0.16814031],[0.0703393]
[0.13030555],[0.16839],[0.070231]
[0.13051924],[0.16863934],[0.07012296]
[0.13073272],[0.16888831],[0.0700152]
[0.13094598],[0.16913692],[0.06990771]
[0.13115904],[0.16938517],[0.06980049]
[0.13137189],[0.16963306],[0.06969353]
[0.13158452],[0.16988059],[0.06958685]
[0.13179695],[0.17012776],[0.06948043]
[0.13200917],[0.17037457],[0.06937428]
[0.13222118],[0.17062102],[0.06926839]
[0.13243298],[0.17086711],[0.06916277]
[0.13264457],[0.17111285],[0.06905742]
[0.13285596],[0.17135822],[0.06895233]
[0.13306714],[0.17160324],[0.0688475]
[0.13327811],[0.17184791],[0.06874293]
[0.13348887],[0.17209222],[0.06863863]
[0.13369942],[0.17233617],[0.06853459]
[0.13390977],[0.17257977],[0.06843081]
[0.13411991],[0.17282301],[0.06832728]
[0.13432985],[0.1730659],[0.06822402]
[0.13453958],[0.17330844],[0.06812102]
[0.13474911],[0.17355062],[0.06801827]
[0.13495843],[0.17379245],[0.06791578]
[0.13516754],[0.17403393],[0.06781355]
[0.13537645],[0.17427506],[0.06771157]
[0.13558515],[0.17451583],[0.06760985]
[0.13579365],[0.17475626],[0.06750838]
[0.13600195],[0.17499633],[0.06740717]
[0.13621004],[0.17523606],[0.06730621]
[0.13641793],[0.17547543],[0.0672055]
[0.13662562],[0.17571446],[0.06710505]
[0.1368331],[0.17595313],[0.06700485]
[0.13704038],[0.17619146],[0.06690489]
[0.13724746],[0.17642945],[0.06680519]
[0.13745433],[0.17666708],[0.06670573]
[0.13766101],[0.17690437],[0.06660653]
[0.13786748],[0.17714131],[0.06650757]
[0.13807375],[0.1773779],[0.06640886]
[0.13827982],[0.17761416],[0.0663104]
[0.13848568],[0.17785006],[0.06621218]
[0.13869135],[0.17808562],[0.06611421]
[0.13889682],[0.17832084],[0.06601648]
[0.13910208],[0.17855571],[0.065919]
[0.13930715],[0.17879024],[0.06582176]
[0.13951202],[0.17902443],[0.06572477]
[0.13971668],[0.17925828],[0.06562801]
[0.13992115],[0.17949178],[0.0655315]
[0.14012542],[0.17972494],[0.06543523]
[0.14032949],[0.17995776],[0.0653392]
[0.14053336],[0.18019025],[0.06524341]
[0.14073704],[0.18042239],[0.06514785]
[0.14094052],[0.18065419],[0.06505254]
[0.14114379],[0.18088565],[0.06495747]
[0.14134687],[0.18111677],[0.06486263]
[0.14154976],[0.18134756],[0.06476803]
[0.14175245],[0.18157801],[0.06467366]
[0.14195494],[0.18180812],[0.06457953]
[0.14215723],[0.18203789],[0.06448564]
[0.14235933],[0.18226733],[0.06439198]
[0.14256123],[0.18249643],[0.06429855]
[0.14276294],[0.1827252],[0.06420536]
[0.14296445],[0.18295363],[0.0641124]
[0.14316576],[0.18318173],[0.06401967]
[0.14336688],[0.18340949],[0.06392717]
[0.14356781],[0.18363692],[0.0638349]
[0.14376854],[0.18386401],[0.06374286]
[0.14396908],[0.18409077],[0.06365106]
[0.14416942],[0.1843172],[0.06355948]
[0.14436957],[0.1845433],[0.06346813]
[0.14456953],[0.18476906],[0.063377]
[0.14476929],[0.1849945],[0.06328611]
[0.14496886],[0.1852196],[0.06319544]
[0.14516824],[0.18544438],[0.06310499]
[0.14536743],[0.18566882],[0.06301478]
[0.14556642],[0.18589293],[0.06292478]
[0.14576522],[0.18611672],[0.06283501]
[0.14596383],[0.18634017],[0.06274547]
[0.14616225],[0.1865633],[0.06265614]
[0.14636048],[0.1867861],[0.06256704]
[0.14655851],[0.18700858],[0.06247816]
[0.14675636],[0.18723072],[0.06238951]
[0.14695401],[0.18745254],[0.06230107]
[0.14715148],[0.18767404],[0.06221285]
[0.14734875],[0.1878952],[0.06212486]
[0.14754584],[0.18811605],[0.06203708]
[0.14774273],[0.18833657],[0.06194952]
[0.14793944],[0.18855676],[0.06186218]
[0.14813595],[0.18877663],[0.06177505]
[0.14833228],[0.18899618],[0.06168815]
[0.14852842],[0.1892154],[0.06160145]
[0.14872437],[0.1894343],[0.06151498]
[0.14892014],[0.18965288],[0.06142872]
[0.14911571],[0.18987114],[0.06134267]
[0.1493111],[0.19008907],[0.06125684]
[0.1495063],[0.19030669],[0.06117122]
[0.14970132],[0.19052398],[0.06108581]
[0.14989614],[0.19074095],[0.06100062]
[0.15009078],[0.19095761],[0.06091564]
[0.15028524],[0.19117394],[0.06083087]
[0.1504795],[0.19138996],[0.06074631]
[0.15067358],[0.19160566],[0.06066196]
[0.15086748],[0.19182104],[0.06057782]
[0.15106119],[0.1920361],[0.06049388]
[0.15125472],[0.19225084],[0.06041016]
[0.15144806],[0.19246527],[0.06032664]
[0.15164121],[0.19267938],[0.06024334]
[0.15183418],[0.19289318],[0.06016024]
[0.15202697],[0.19310666],[0.06007734]
[0.15221957],[0.19331982],[0.05999465]
[0.15241199],[0.19353267],[0.05991217]
[0.15260423],[0.19374521],[0.05982989]
[0.15279628],[0.19395743],[0.05974781]
[0.15298815],[0.19416934],[0.05966594]
[0.15317983],[0.19438094],[0.05958427]
[0.15337134],[0.19459222],[0.05950281]
[0.15356266],[0.19480319],[0.05942154]
[0.1537538],[0.19501385],[0.05934048]
[0.15394475],[0.1952242],[0.05925962]
[0.15413553],[0.19543423],[0.05917896]
[0.15432612],[0.19564396],[0.0590985]
[0.15451653],[0.19585337],[0.05901824]
[0.15470677],[0.19606248],[0.05893818]
[0.15489682],[0.19627127],[0.05885831]
[0.15508669],[0.19647976],[0.05877865]
[0.15527638],[0.19668794],[0.05869918]
[0.15546589],[0.19689581],[0.05861991]
[0.15565522],[0.19710337],[0.05854083]
[0.15584437],[0.19731063],[0.05846195]
[0.15603334],[0.19751758],[0.05838327]
[0.15622213],[0.19772422],[0.05830478]
[0.15641074],[0.19793056],[0.05822649]
[0.15659918],[0.19813659],[0.05814839]
[0.15678743],[0.19834231],[0.05807048]
[0.15697551],[0.19854773],[0.05799276]
[0.15716341],[0.19875284],[0.05791524]
[0.15735113],[0.19895766],[0.05783791]
[0.15753867],[0.19916216],[0.05776077]
[0.15772604],[0.19936637],[0.05768382]
[0.15791323],[0.19957027],[0.05760707]
[0.15810024],[0.19977386],[0.0575305]
[0.15828708],[0.19997716],[0.05745412]
[0.15847374],[0.20018015],[0.05737793]
[0.15866022],[0.20038285],[0.05730193]
[0.15884653],[0.20058524],[0.05722612]
[0.15903266],[0.20078733],[0.05715049]
[0.15921861],[0.20098912],[0.05707505]
[0.15940439],[0.20119061],[0.0569998]
[0.15959],[0.2013918],[0.05692473]
[0.15977543],[0.20159269],[0.05684985]
